编号,来源版本,L1类别,L2子类,语体大类,语体,噪声类型,文本长度,输入句子,期望输出,期望标签,性别触发词,保留理由,常见误改（负例陷阱）,难度,是否争议,备注,处置,切分,处置理由
NEG-0104,v2,四、专有名词与固定名称,4.1 法律法规,学术与调研,学术写作,无,,我国于 1980 年批准加入《消除对妇女一切形式歧视公约》。,,无需改写,妇女,国际条约正式名称,我国于 1980 年批准加入相关反歧视公约,易,否,,主集,dev,
NEG-0105,v2,四、专有名词与固定名称,4.1 法律法规,公文与规章,政策解读,无,,《母婴保健法》对婚前医学检查和孕产期保健作了专门规定。,,无需改写,母婴保健法,法律正式名称,《健康保障法》对相关检查作了专门规定,易,否,,主集,dev,
NEG-0106,v2,四、专有名词与固定名称,4.2 机构、组织与场所,医疗健康,就医指南,无,,北京妇产医院的产科门诊需提前七天在小程序上预约。,,无需改写,妇产医院/产科,机构与科室法定名称,该专科医院的门诊需提前七天预约,易,否,,主集,index,
NEG-0107,v2,四、专有名词与固定名称,4.2 机构、组织与场所,新闻报道,体育报道,无,,中国女足在小组赛末轮以两球取胜，提前锁定出线名额。,,无需改写,女足,队伍正式名称,中国足球队在小组赛末轮取胜,易,否,,主集,index,
NEG-0108,v2,四、专有名词与固定名称,4.2 机构、组织与场所,新闻报道,新闻通稿,无,,全国妇联联合教育部等部门发布了家庭教育指导意见。,,无需改写,全国妇联,机构法定简称,相关联合会与教育部等部门发布了指导意见,易,否,,主集,dev,
NEG-0109,v2,四、专有名词与固定名称,4.2 机构、组织与场所,新闻报道,地方新闻,无,,市第一女子中学与两所公办初中组建了教育集团。,,无需改写,女子中学,学校法定名称,市第一中学与两所公办初中组建了教育集团,易,否,,主集,dev,
NEG-0111,v2,四、专有名词与固定名称,4.3 奖项、荣誉与称号,新闻报道,文娱报道,无,,本届金鸡奖最佳女配角由一位首次触电的新人获得。,,无需改写,最佳女配角,奖项设置的正式名称,本届金鸡奖最佳配角由一位新人获得,易,是,少数影展已取消性别分设，但不影响既有奖项名的引用,主集,test,
NEG-0113,v2,四、专有名词与固定名称,4.3 奖项、荣誉与称号,新闻报道,科研新闻,无,,该团队获颁本年度中国青年女科学家团队奖。,,无需改写,女科学家,奖项正式名称,该团队获颁本年度中国青年科学家团队奖,易,否,,主集,test,
NEG-0114,v2,四、专有名词与固定名称,4.4 节日与纪念日,公文与规章,活动通知,无,,三八国际妇女节当天，全市多家博物馆对女性观众免费开放。,,无需改写,妇女节/女性观众,节日名称与活动规则,国际劳动节当天，全市多家博物馆免费开放,易,否,,主集,test,
NEG-0115,v2,四、专有名词与固定名称,4.4 节日与纪念日,商业与产品,行业数据,无,,母亲节前一周，鲜花订单量环比上涨四成。,,无需改写,母亲节,节日名称,节日前一周，鲜花订单量环比上涨四成,易,否,,主集,index,
NEG-0116,v2,四、专有名词与固定名称,4.4 节日与纪念日,社交与社区,公益倡导,无,,11 月 25 日是消除对妇女暴力国际日，今年主题聚焦数字空间的性别暴力。,,无需改写,妇女/性别暴力,纪念日名称与年度主题,11 月 25 日是消除暴力国际日，今年主题聚焦数字空间,易,否,,主集,index,
NEG-0117,v2,四、专有名词与固定名称,4.4 节日与纪念日,商业与产品,消费观察,无,,父亲节的礼品搜索量近三年增速已超过母亲节。,,无需改写,父亲节/母亲节,节日名称与对比数据,两个节日的礼品搜索量近三年增速不同,易,否,,主集,dev,
NEG-0119,v2,四、专有名词与固定名称,4.5 作品名与文化产品,文艺创作与评论,剧评,无,,《大明宫词》至今仍被视为国产剧中女性视角叙事的代表作。,,无需改写,女性视角,剧名与评论中的分析术语,该剧至今仍被视为国产剧叙事的代表作,中,否,,主集,dev,
NEG-0120,v2,四、专有名词与固定名称,4.5 作品名与文化产品,商业与产品,音乐介绍,无,,《女人花》是梅艳芳流传最广的作品之一。,,无需改写,女人花,歌曲名,该曲是梅艳芳流传最广的作品之一,易,否,,主集,dev,
NEG-0121,v2,四、专有名词与固定名称,4.5 作品名与文化产品,新闻报道,影视资讯,无,,《一个女人的史诗》改编自严歌苓的同名小说。,,无需改写,一个女人的史诗,作品名,该剧改编自严歌苓的同名小说,易,否,,主集,index,
NEG-0122,v2,四、专有名词与固定名称,4.6 历史与制度术语,医疗健康,历史科普,无,,科举时代的“男丁”须承担徭役，女性不列入丁口。,,无需改写,男丁/丁口,历史制度术语,科举时代的成年人须承担徭役,易,否,,主集,test,
NEG-0123,v2,四、专有名词与固定名称,4.6 历史与制度术语,学术与调研,学术写作,无,,缠足的废止过程与清末新式女学的兴起大体同步。,,无需改写,缠足/女学,历史事物与制度名称,该习俗的废止与清末新式教育的兴起同步,易,否,,主集,dev,
NEG-0124,v2,四、专有名词与固定名称,4.6 历史与制度术语,医疗健康,历史科普,无,,唐代命妇的封号通常与其夫或子的官阶挂钩。,,无需改写,命妇/夫/子,历史制度术语及其运作方式,唐代相关封号通常与家人的官阶挂钩,易,否,,主集,index,
NEG-0125,v2,四、专有名词与固定名称,4.6 历史与制度术语,学术与调研,地方志,无,,童养媳现象在本地部分乡村延续至上世纪五十年代初。,,无需改写,童养媳,历史制度名称,早婚现象在本地部分乡村延续至五十年代初,易,否,,主集,index,
NEG-0126,v2,四、专有名词与固定名称,4.7 学术与批判性概念,学术与调研,学术论文,无,,“玻璃悬崖”指女性更容易在组织陷入危机时被推上高位。,,无需改写,玻璃悬崖/女性,术语的标准定义，删去性别则定义失效,该概念指人们更容易在组织危机时被推上高位,难,否,定义句中的性别词属定义内容,主集,index,
NEG-0128,v2,四、专有名词与固定名称,4.7 学术与批判性概念,学术与调研,学术论文,无,,本文在“男性凝视”的框架下重新解读了这批海报的构图逻辑。,,无需改写,男性凝视,分析工具，非作者立场,本文在“观看视角”的框架下解读了这批海报,中,否,,主集,test,
NEG-0129,v2,四、专有名词与固定名称,4.7 学术与批判性概念,商业与产品,消费观察,无,,“粉红税”指同类商品的女性版本定价普遍偏高的现象。,,无需改写,粉红税/女性版本,术语定义,该现象指同类商品的不同版本定价存在差异,难,否,,主集,index,
NEG-0130,v2,四、专有名词与固定名称,4.8 品牌、产品与商业名称,新闻报道,行业报道,无,,该品牌女装线与男装线的版型开发团队是分开的。,,无需改写,女装线/男装线,产品线的既有名称,该品牌不同产品线的版型开发团队是分开的,中,否,,主集,index,
NEG-0131,v2,四、专有名词与固定名称,4.8 品牌、产品与商业名称,公文与规章,商场导视,无,,四层为男装及运动区，五层为女装及童装区。,,无需改写,男装/女装,楼层导视信息,四层与五层为服装及运动区,中,是,部分商场已推行无性别分区，但改写既有导视会造成信息错误,主集,index,
NEG-0132,v2,四、专有名词与固定名称,4.8 品牌、产品与商业名称,商业与产品,市场报告,无,,“她经济”已成为近三年消费类研报中的高频词。,,无需改写,她经济,术语名称,消费类研报中出现了新的高频词,易,否,,主集,dev,
NEG-0133,v2,四、专有名词与固定名称,4.8 品牌、产品与商业名称,商业与产品,商品描述,无,,这款香水分男士版与女士版，前调差别较大，建议先试香。,,无需改写,男士版/女士版,商品分类的既有名称,这款香水有两个版本，前调差别较大,中,否,,主集,index,
NEG-0134,v2,五、引用与转述,5.1 直接引语,新闻报道,调查报道,无,,他在电话里说：“家里女人多，事就多。”记者随后追问了这句话的含义。,,无需改写,女人,直接引语属证据材料,他在电话里表达了对家庭事务繁多的抱怨,难,否,,主集,index,
NEG-0135,v2,五、引用与转述,5.1 直接引语,法律与司法,庭审记录,无,,被告人当庭表示：“我当时想她一个女的，不会真去报警。”,,无需改写,她/女的,供述原文是定罪量刑的事实依据,被告人当庭表示其低估了被害人的应对能力,难,否,,主集,test,
NEG-0136,v2,五、引用与转述,5.1 直接引语,文艺创作与评论,会议记录,无,,有代表提出：“一线岗位不适合招女生。”该意见未被会议采纳。,,无需改写,女生,记录原话，且后半句已表明立场,有代表提出了限制性招聘意见，未被会议采纳,难,否,,主集,dev,
NEG-0137,v2,五、引用与转述,5.1 直接引语,新闻报道,人物特写,无,,老人反复说着同一句话：“我这辈子就盼着我闺女能上大学。”,,无需改写,闺女,受访者原话,老人反复表达着对子女教育的期盼,中,否,,主集,dev,
NEG-0138,v2,五、引用与转述,5.1 直接引语,文艺创作与评论,播客转录,无,,嘉宾说：“我妈那一代人，是没有'职业选择'这个概念的。”,,无需改写,我妈,逐字稿，不得改口,嘉宾说：上一代人没有职业选择的概念,中,否,,主集,index,
NEG-0139,v2,五、引用与转述,5.2 文献与史料,学术与调研,学术引用,无,,《礼记》“男女七岁不同席”一语，常被后世引作分隔依据。,,无需改写,男女七岁不同席,经典原文，可加注不可改,《礼记》中有关于分隔的记载，常被后世引用,易,否,,主集,index,
NEG-0140,v2,五、引用与转述,5.2 文献与史料,学术与调研,碑刻释文,无,,碑文记：“孝女某氏，庐墓三年，乡人称之。”,,无需改写,孝女,金石文献释文,碑文记载了一位孝子庐墓三年之事,易,否,,主集,index,
NEG-0141,v2,五、引用与转述,5.2 文献与史料,新闻报道,新闻史研究,无,,1919 年该报社论提出“女子亦当有职业”，在当时颇为激进。,,无需改写,女子,历史文本引用，且原文本身是进步主张,1919 年该报社论提出了就业主张，在当时颇为激进,中,否,,主集,index,
NEG-0142,v2,五、引用与转述,5.2 文献与史料,学术与调研,家族史,无,,族谱凡例注明：“女不入谱。”这一体例在民国以后陆续被打破。,,无需改写,女不入谱,史料原文，且后句即在批判它,族谱凡例存在收录限制，这一体例后被打破,难,否,,主集,dev,
NEG-0144,v2,五、引用与转述,5.3 法律与官方文书原件,法律与司法,裁判文书,无,,判决书载明：“被告人系哺乳期妇女，依法不予收监。”,,无需改写,哺乳期妇女,文书原文，且该事实是适用条款的前提,判决书载明被告人依法不予收监,易,否,,主集,index,
NEG-0145,v2,五、引用与转述,5.3 法律与官方文书原件,法律与司法,法制史,无,,1950 年《婚姻法》第一条为：“废除包办强迫、男尊女卑……的封建主义婚姻制度。”,,无需改写,男尊女卑,法条原文引用,1950 年《婚姻法》第一条规定废除封建主义婚姻制度,中,否,,主集,index,
NEG-0146,v2,五、引用与转述,5.3 法律与官方文书原件,法律与司法,公证文书,无,,公证书记载：“申请人之妻李某某自愿放弃继承权。”,,无需改写,之妻,公证文书原文,公证书记载申请人配偶自愿放弃继承权,中,否,,主集,dev,
NEG-0147,v2,五、引用与转述,5.3 法律与官方文书原件,法律与司法,行政处罚,无,,决定书引用的招聘广告原文为：“仅限男性，25 岁以下。”,,无需改写,仅限男性,举证式引用，删去则处罚无依据,决定书引用的招聘广告存在不当限制,难,否,,主集,dev,
NEG-0148,v2,五、引用与转述,5.3 法律与官方文书原件,公文与规章,公司章程,无,,章程第十二条：“理事会中女性成员不得少于三分之一。”,,无需改写,女性成员,章程条文原文，且是积极行动条款,章程规定理事会构成应保持多元,中,否,,主集,index,
NEG-0149,v2,五、引用与转述,5.4 研究与调查材料,学术与调研,问卷,无,,Q1 您的性别：①男 ②女 ③非二元 ④不愿透露,,无需改写,男/女/非二元,题干与选项原样呈现是方法学披露要求,Q1 您的性别：（请填写）,中,否,,主集,index,
NEG-0150,v2,五、引用与转述,5.4 研究与调查材料,学术与调研,量表,无,,条目 7：“男人应当是家庭的主要经济支柱。”（1＝完全不同意，5＝完全同意）,,无需改写,男人,量表条目原文，改写将使测量失效,条目 7：“家庭应有主要经济支柱。”,难,否,,主集,dev,
