编号,来源版本,L1类别,L2子类,载体形式,指向性别,叠加类别,语体大类,语体,噪声类型,文本长度,输入句子,参考改写,期望标签,问题触发词,问题说明,可接受的其他改法,欠改陷阱（改了但没改到位）,过改陷阱（矫枉过正）,必须保留的信息,严重度,难度,是否争议,备注,处置,切分,处置理由
POS-0068,v3,二、冗余标记（性别在场却不承载信息）,2.2 性别专用与阴性化称谓,常规句,指向女性,,文艺创作与评论,综艺字幕,无,中,主持人称她为才女，说她琴棋书画样样都行。,主持人称赞她多才多艺，琴棋书画样样都行。,需改写,才女,“才女”为女性专用褒称，无对称的男性说法。,“说她才华全面”,改成“女才子”,把“琴棋书画”换成“很多才艺”，丢失具体列举,琴棋书画的具体列举、主持人称赞的事实,建议改,中,否,,主集,test,
POS-0069,v3,二、冗余标记（性别在场却不承载信息）,2.2 性别专用与阴性化称谓,常规句,指向女性,,社交与社区,朋友圈,无,中,这次投标全靠她一个人扛下来，真是女中豪杰。,这次投标全靠她一个人扛下来，真是了不起。,需改写,女中豪杰,以男性英雄谱系为参照的褒扬，兼涉 8.5。,“真是硬骨头”“真扛得住”,改成“女豪杰”,把“一个人扛下来”改掉，丢失事实,独自完成投标的事实、赞许语气,建议改,中,否,,主集,index,
POS-0070,v3,二、冗余标记（性别在场却不承载信息）,2.2 性别专用与阴性化称谓,常规句,双向,,口语与私人交流,办公室闲聊,无,中,办公室大姐大一发话，谁都不敢吭声。,她一发话，办公室里谁都不敢吭声。,需改写,大姐大,江湖气的性别化封号，隐含女性掌权是异类。,“她一开口大家都安静了”,改成“大姐”,把“谁都不敢吭声”改掉，丢失原句的夸张效果,一发话、无人吭声的对比,建议改,中,是,部分语境中为亲昵调侃，需看关系与语气,主集,test,
POS-0071,v3,二、冗余标记（性别在场却不承载信息）,2.2 性别专用与阴性化称谓,常规句,指向女性,,新闻报道,行业访谈,无,中,作为一名女企业家，她坦言最难的是被当成花瓶。,她坦言，创业初期最难的是不被当作决策者对待。,需改写,女企业家,“女企业家”为特化称谓；后半句的物化词需一并处理。,“她坦言创业初期最大的困难是外界的轻视”,只删“女”，保留“花瓶”这一物化词,把她所述的困难删掉，丢失访谈内容,创业初期的困难、不被认真对待这一处境,应改,中,否,兼涉 7.2,主集,dev,
POS-0072,v3,二、冗余标记（性别在场却不承载信息）,2.2 性别专用与阴性化称谓,常规句,指向女性,,社交与社区,豆瓣短评,无,短,导演是位女将，镜头很稳。,导演的镜头很稳。,需改写,女将,“女将”为军事语汇的阴性挪用，无对称男性说法。,“这位导演镜头很稳”,改成“女导演”,把“镜头很稳”删掉，丢失评价,对镜头稳定的评价,建议改,中,否,短句样本,主集,index,
POS-0073,v3,二、冗余标记（性别在场却不承载信息）,2.2 性别专用与阴性化称谓,成语俗谚,指向女性,,文艺创作与评论,书评,无,中,她笔下的江湖，颇有几分脂粉英雄的意味。,她笔下的江湖，颇有几分侠气。,需改写,脂粉英雄,以“脂粉”限定“英雄”，暗示女性英雄需另设范畴。,“别具一种凛冽的侠气”,改成“女中英雄”,把江湖这一评论对象改掉,她作品中的江湖题材、侠气的评价,建议改,难,是,文学修辞，改动尺度有分歧,主集,index,
POS-0074,v3,二、冗余标记（性别在场却不承载信息）,2.3 标题与导语的冗余标性,标题,指向女性,,新闻报道,社会新闻标题,无,中,女子深夜驾车撞上高架护栏 所幸无人受伤,一驾驶员深夜撞上高架护栏 所幸无人受伤,需改写,女子,同类事件报道男性当事人时常不标性别，构成使用频率上的不对等。,“一车辆深夜撞上高架护栏”,改成“一女性驾驶员”,把“所幸无人受伤”删掉，丢失关键结果,深夜、高架护栏、无人受伤,建议改,难,是,频率不对等，单条难判，需在语料层面统计验证,主集,index,
POS-0075,v3,二、冗余标记（性别在场却不承载信息）,2.3 标题与导语的冗余标性,标题,指向女性,,新闻报道,正能量报道标题,无,中,女教师街头跪地救人 路人纷纷点赞,教师街头跪地救人 路人纷纷点赞,需改写,女教师,救人行为与性别无关，标题标性属吸睛式冗余。,“一名教师街头跪地救人”,改成“女性教师”,把“跪地”删掉，丢失现场细节,跪地救人、路人点赞,建议改,中,是,,主集,index,
POS-0076,v3,二、冗余标记（性别在场却不承载信息）,2.3 标题与导语的冗余标性,标题,指向女性,,新闻报道,民生新闻标题,无,中,三名女白领合租遭遇黑中介 押金难退,三名租客合租遭遇黑中介 押金难退,需改写,女白领,维权事件与当事人性别无关。,“三名年轻租客”,改成“三名女性白领”,把“押金难退”删掉，丢失事件核心,三名、合租、黑中介、押金难退,应改,中,否,,主集,dev,
POS-0078,v3,二、冗余标记（性别在场却不承载信息）,2.3 标题与导语的冗余标性,标题,指向女性,,新闻报道,突发新闻标题,无,中,女房东私自换锁 租客深夜被拒门外,房东私自换锁 租客深夜被拒门外,需改写,女房东,纠纷报道中当事人性别与事件无关。,“出租房换锁纠纷 租客深夜被拒门外”,改成“女性房东”,把“深夜被拒门外”删掉，丢失事件核心,私自换锁、租客深夜被拒门外,应改,中,否,,主集,dev,
POS-0080,v3,二、冗余标记（性别在场却不承载信息）,2.3 标题与导语的冗余标性,标题,指向女性,,新闻报道,财经新闻标题,无,中,女高管辞职创业 首轮融资超千万,高管辞职创业 首轮融资超千万,需改写,女高管,财经报道中性别与融资无关。,“某高管离职创业 首轮融资超千万”,改成“女性高管”,把“超千万”改成“数额可观”，丢失量化信息,辞职创业、首轮融资超千万,应改,中,否,,主集,test,
POS-0081,v3,二、冗余标记（性别在场却不承载信息）,2.4 服务岗位的性别化称呼与设定,常规句,双向,,商业与产品,访客接待指引,无,中,到了公司前台，小姐姐会帮您登记并发放访客卡。,到了公司前台，工作人员会帮您登记并发放访客卡。,需改写,小姐姐,既预设岗位性别，又带亲昵化、幼态化色彩。,“前台同事会协助登记”,改成“前台女士”,把“访客卡”删掉，丢失流程要件,登记、发放访客卡两个步骤,应改,易,否,,主集,test,
POS-0083,v3,二、冗余标记（性别在场却不承载信息）,2.4 服务岗位的性别化称呼与设定,常规句,指向女性,2.4 ＋ 6.5,商业与产品,活动招募,无,中,招聘礼仪小姐若干名，身高一米六八以上，形象气质佳。,招聘礼仪引导人员若干名，需具备良好的仪态与现场应变能力。,需改写,礼仪小姐／身高／形象气质,岗位称谓性别化，且以身高形象为主要标准。,“招聘活动引导员，需仪态端正”,只把“小姐”改成“人员”，保留身高与形象要求,把“若干名”改成具体人数，凭空增加信息,招募人数不确定、岗位为现场引导,必改,中,否,兼涉 2.8,主集,test,
POS-0084,v3,二、冗余标记（性别在场却不承载信息）,2.4 服务岗位的性别化称呼与设定,常规句,指向女性,,商业与产品,餐厅点单提示,网络用语,中,有需要随时叫我们的小哥哥小姐姐哈~,有需要随时叫我们的服务员哈~,需改写,小哥哥小姐姐,以性别化昵称指代服务岗位，且强制二元。,“随时叫我们的同事哈~”,改成“小姐姐小哥哥都行”,去掉“哈~”，改变原文的亲切语气,随时呼叫的服务承诺、亲切语气,建议改,中,是,餐饮口语中已高度惯用，尺度存在分歧,主集,index,
POS-0085,v3,二、冗余标记（性别在场却不承载信息）,2.4 服务岗位的性别化称呼与设定,常规句,指向女性,,商业与产品,展会招募,无,中,招展会小蜜蜂若干，负责引导和派单，形象甜美者优先。,招展会引导员若干，负责观众引导与资料派发。,需改写,小蜜蜂／形象甜美,岗位昵称性别化且幼态化，外貌条件无岗位依据。,“招现场引导员，负责引导与派发资料”,只把“小蜜蜂”改成“礼仪”，外貌条件未删,把引导与派单这两项职责删掉,引导、派发资料两项职责,必改,中,否,,主集,index,
POS-0086,v3,二、冗余标记（性别在场却不承载信息）,2.4 服务岗位的性别化称呼与设定,常规句,指向女性,,商业与产品,楼盘销售话术,无,中,咱们置业顾问都是小姐姐，服务上您放心。,咱们置业顾问都很专业，服务上您放心。,需改写,小姐姐,以性别化昵称作为服务卖点。,“置业顾问经验都比较丰富”,改成“都是女孩子”,把服务承诺删掉，丢失话术功能,置业顾问、服务让顾客放心,应改,中,否,,主集,index,
POS-0087,v3,二、冗余标记（性别在场却不承载信息）,2.4 服务岗位的性别化称呼与设定,常规句,双向,,商业与产品,酒吧岗位表,结构化文本,中,岗位：男公关 8 名｜女公关 12 名｜要求：形象好，能喝酒,岗位：客户服务专员 20 名｜要求：沟通能力强，接受轮班,需改写,男公关／女公关／能喝酒,岗位设定按性别分列并以外貌与饮酒为条件。,“服务专员若干，负责客户接待”,只把“公关”改成“服务人员”，性别分列与饮酒要求保留,把岗位数量改动，破坏事实,岗位共 20 名、客户服务性质,必改,中,是,业态特殊性需结合合规判断,主集,index,
POS-0088,v3,二、冗余标记（性别在场却不承载信息）,2.5 “首位女性”式顺位标注,常规句,指向女性,,公文与规章,内部邮件,无,中,年会上我们请到了第一位女性大区经理李娜，分享她的销售心得。,年会上我们请到了大区经理李娜，分享她的销售心得。,需改写,第一位女性,此处主题为销售经验，首位女性的标注与内容无关。,“请到了大区经理李娜”,改成“首位女大区经理”,把“销售心得”改成“经验”，丢失主题,李娜、大区经理、销售心得,建议改,难,是,与“第一位女性航天员”构成反事实对照,主集,dev,
POS-0089,v3,二、冗余标记（性别在场却不承载信息）,2.5 “首位女性”式顺位标注,常规句,指向女性,,商业与产品,公司公告,无,中,这是我司首位女性技术总监，她将负责中台重构项目。,这是我司新任技术总监李某，她将负责中台重构项目。,需改写,首位女性,任命公告的重点是职责，首位女性的标注反而弱化其专业身份。,“新任技术总监将负责中台重构”,改成“首位女技术总监”,把“中台重构”删掉，丢失职责范围,技术总监任命、中台重构项目,建议改,难,是,,主集,index,
